timestamp,sno,sarea,sna,latitude,longitude,total,available_rent_bikes,available_return_bikes,act,srcUpdateTime
2025-05-24T20:35+00:00,500107011,中山區,YouBike2.0_捷運大直站(3號出口),25.07923,121.5473,34,17,17,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500107028,中山區,YouBike2.0_捷運松江南京站(7號出口),25.05246,121.5332,75,34,40,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500107029,中山區,YouBike2.0_朱崙商場,25.04762,121.54043,37,22,15,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500107064,中山區,YouBike2.0_建國農安街口,25.06503,121.53678,50,27,23,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500107087,中山區,YouBike2.0_新興公園,25.06157,121.52439,26,17,9,1,2025-05-25 04:26:30
2025-05-24T20:35+00:00,500107090,中山區,YouBike2.0_撫順街41巷(崇德宮前),25.06389,121.51916,19,2,17,1,2025-05-25 04:26:30
2025-05-24T20:35+00:00,500107118,中山區,YouBike2.0_林森公園,25.05223,121.52581,42,27,15,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500107140,中山區,YouBike2.0_捷運中山站(3號出口),25.05236,121.52212,21,8,13,1,2025-05-25 04:26:30
2025-05-24T20:35+00:00,500107143,中山區,YouBike2.0_朱崙復興北路口,25.04992,121.54379,12,6,6,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500107153,中山區,YouBike2.0_北安明水路口(自強隧道),25.08578,121.55225,12,6,6,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500107154,中山區,YouBike2.0_中正國小(南京東路三段48巷),25.05126,121.53845,15,6,9,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500107159,中山區,YouBike2.0_民權中山路口(東北側),25.06292,121.52299,25,13,11,1,2025-05-25 04:26:30
2025-05-24T20:35+00:00,500108028,內湖區,YouBike2.0_捷運文德站(2號出口),25.07842,121.58464,49,13,36,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500108056,內湖區,YouBike2.0_臺北市網球中心,25.0674,121.59749,34,16,18,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500108057,內湖區,YouBike2.0_捷運葫洲站(1號出口),25.07249,121.60796,37,13,24,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500108061,內湖區,YouBike2.0_碧湖公園(內湖路二段103巷),25.08317,121.58109,19,13,4,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500108070,內湖區,YouBike2.0_捷運港墘站(2號出口),25.07967,121.57584,47,19,28,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500108107,內湖區,YouBike2.0_西康二號公園,25.08503,121.5637,21,16,5,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500108109,內湖區,YouBike2.0_瑞光路76巷口,25.07168,121.58125,12,5,7,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500108112,內湖區,YouBike2.0_碧山內湖路口,25.08627,121.5914,16,9,7,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500108123,內湖區,YouBike2.0_安湖公園,25.07392,121.61545,15,8,7,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500108148,內湖區,YouBike2.0_瑞湖公園,25.06888,121.57711,15,1,14,1,2025-05-25 04:26:30
2025-05-24T20:35+00:00,500108160,內湖區,YouBike2.0_新光基湖大樓,25.08152,121.56489,19,3,16,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500108194,內湖區,YouBike2.0_文德三號公園(文德路),25.07834,121.58076,21,7,14,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500108200,內湖區,YouBike2.0_民權東路六段280巷155弄口,25.06865,121.60884,21,10,11,1,2025-05-25 04:26:30
2025-05-24T20:35+00:00,500109015,北投區,YouBike2.0_捷運復興崗站(1號出口),25.1378,121.4863,45,9,36,1,2025-05-25 04:26:30
2025-05-24T20:35+00:00,500109052,北投區,YouBike2.0_承德路七段188巷口,25.11416,121.50771,16,9,7,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500109074,北投區,YouBike2.0_中和街493巷9弄口,25.1439,121.49447,16,11,1,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500109085,北投區,YouBike2.0_北投文化公園(北側),25.13713,121.49706,20,12,5,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500110027,松山區,YouBike2.0_八德路三段8巷口,25.04488,121.54992,15,13,2,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500110035,松山區,YouBike2.0_松山新城,25.05347,121.55436,27,15,12,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500110051,松山區,YouBike2.0_民權東路三段106巷口,25.062,121.54472,22,3,19,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500110058,松山區,YouBike2.0_南京東路四段179巷口,25.05173,121.55609,13,7,6,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500110070,松山區,YouBike2.0_捷運松山站(1號出口),25.05014,121.57692,15,1,14,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500110081,松山區,YouBike2.0_延壽街119巷口,25.05708,121.56486,15,13,2,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500110093,松山區,YouBike2.0_松山國小(東北側),25.05141,121.57972,24,17,7,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500111014,南港區,YouBike2.0_中研公園,25.04697,121.61375,40,29,10,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500111028,南港區,YouBike2.0_東新國小,25.05507,121.6028,22,11,11,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500111030,南港區,YouBike2.0_六福公園,25.04681,121.61703,19,12,7,1,2025-05-25 04:26:30
2025-05-24T20:35+00:00,500111037,南港區,YouBike2.0_南港軟體園區(新民街),25.05627,121.61369,25,6,19,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500111038,南港區,YouBike2.0_世貿公園,25.05831,121.61422,35,4,31,1,2025-05-25 04:26:30
2025-05-24T20:35+00:00,500111052,南港區,YouBike2.0_胡適公園,25.04014,121.61766,25,11,14,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500111058,南港區,YouBike2.0_舊莊國小(舊莊街一段),25.03987,121.62015,18,9,9,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500111082,南港區,YouBike2.0_南港路三段130巷口,25.05457,121.58781,12,8,4,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500111097,南港區,YouBike2.0_捷運南港軟體園區站(1號出口),25.06043,121.61498,36,3,33,1,2025-05-25 04:26:30
2025-05-24T20:35+00:00,500112001,信義區,YouBike2.0_黎忠區民活動中心,25.02035,121.55769,20,8,10,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500112002,信義區,YouBike2.0_基隆路二段159巷口,25.02561,121.55409,14,3,11,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500112007,信義區,YouBike2.0_臺北醫學大學,25.02668,121.56175,64,9,55,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500112012,信義區,YouBike2.0_松仁路253巷3弄,25.02678,121.56884,25,11,9,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500112013,信義區,YouBike2.0_興雅國中,25.03616,121.56983,18,5,13,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500112024,信義區,YouBike2.0_松山工農,25.03961,121.57199,34,8,26,1,2025-05-25 04:25:29
