timestamp,sno,sarea,sna,latitude,longitude,total,available_rent_bikes,available_return_bikes,act,srcUpdateTime
2025-06-14T20:33+00:00,500101003,大安區,YouBike2.0_國北教大實小東側門,25.02429,121.54124,28,15,13,1,2025-06-15 04:21:29
2025-06-14T20:33+00:00,500101014,大安區,YouBike2.0_羅斯福路三段311號前,25.01717,121.53202,11,2,9,1,2025-06-15 04:21:29
2025-06-14T20:33+00:00,500101015,大安區,YouBike2.0_大安運動中心停車場,25.02089,121.54697,19,13,6,1,2025-06-15 04:21:29
2025-06-14T20:33+00:00,500101030,大安區,YouBike2.0_臺大永齡生醫工程館,25.0136,121.54656,34,19,15,1,2025-06-15 04:21:29
2025-06-14T20:33+00:00,500101031,大安區,YouBike2.0_臺大男七舍前,25.01537,121.54698,20,20,0,1,2025-06-15 04:21:29
2025-06-14T20:33+00:00,500101034,大安區,YouBike2.0_臺大動物醫院前,25.01576,121.54291,18,3,15,1,2025-06-15 04:21:29
2025-06-14T20:33+00:00,500101038,大安區,YouBike2.0_臺大社科院圖書館前,25.02101,121.54284,27,2,25,1,2025-06-15 04:21:29
2025-06-14T20:33+00:00,500101039,大安區,YouBike2.0_臺大法人語言訓練中心前,25.02104,121.54081,28,5,23,1,2025-06-15 04:21:29
2025-06-14T20:33+00:00,500101041,大安區,YouBike2.0_辛亥新生路口東南側,25.02218,121.53474,50,7,40,1,2025-06-15 04:21:29
2025-06-14T20:33+00:00,500101108,大安區,YouBike2.0_和平泰順街口,25.02621,121.53171,19,8,9,1,2025-06-15 04:21:29
2025-06-14T20:33+00:00,500101111,大安區,YouBike2.0_捷運古亭站(5號出口),25.02715,121.52293,14,0,14,0,2025-06-15 04:21:29
2025-06-14T20:33+00:00,500101113,大安區,YouBike2.0_臺北市立圖書館(總館),25.02895,121.5379,51,34,16,1,2025-06-15 04:21:29
2025-06-14T20:33+00:00,500101118,大安區,YouBike2.0_金甌女中,25.03519,121.5245,15,7,7,1,2025-06-15 04:21:29
2025-06-14T20:33+00:00,500101120,大安區,YouBike2.0_愛國金山路口,25.03164,121.52661,43,2,40,1,2025-06-15 04:21:29
2025-06-14T20:33+00:00,500101125,大安區,YouBike2.0_臨江街夜市(通化街101巷口),25.02952,121.55406,30,6,18,1,2025-06-15 04:21:29
2025-06-14T20:33+00:00,500101127,大安區,YouBike2.0_台北科技大學億光大樓,25.04177,121.53833,45,22,23,1,2025-06-15 04:21:29
2025-06-14T20:33+00:00,500101131,大安區,YouBike2.0_復興南路1段340巷口,25.03701,121.54348,50,5,45,1,2025-06-15 04:21:29
2025-06-14T20:33+00:00,500101132,大安區,YouBike2.0_建國濟南路口,25.03935,121.53828,54,21,33,1,2025-06-15 04:21:29
2025-06-14T20:33+00:00,500101133,大安區,YouBike2.0_捷運忠孝復興站(2號出口),25.04035,121.5436,43,29,13,1,2025-06-15 04:21:29
2025-06-14T20:33+00:00,500101136,大安區,YouBike2.0_信義大安路口(信維大樓),25.03317,121.54639,18,11,7,1,2025-06-15 04:21:29
2025-06-14T20:33+00:00,500101149,大安區,YouBike2.0_捷運忠孝新生站(6號出口),25.04091,121.53295,15,7,7,1,2025-06-15 04:21:29
2025-06-14T20:33+00:00,500101151,大安區,YouBike2.0_大安高工,25.03126,121.54339,23,9,14,1,2025-06-15 04:21:29
2025-06-14T20:33+00:00,500101152,大安區,YouBike2.0_捷運忠孝新生站(3號出口),25.04189,121.53376,43,19,24,1,2025-06-15 04:21:29
2025-06-14T20:33+00:00,500101154,大安區,YouBike2.0_敦化市民路口,25.04405,121.5486,23,0,23,1,2025-06-15 04:21:29
