timestamp,sno,sarea,sna,latitude,longitude,total,available_rent_bikes,available_return_bikes,act,srcUpdateTime
2025-06-21T22:08+00:00,500101001,大安區,YouBike2.0_捷運科技大樓站,25.02605,121.5436,28,10,18,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101002,大安區,YouBike2.0_復興南路二段273號前,25.02565,121.54357,21,18,3,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101003,大安區,YouBike2.0_國北教大實小東側門,25.02429,121.54124,28,19,9,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101005,大安區,YouBike2.0_辛亥復興路口西北側,25.02153,121.54299,16,15,1,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101006,大安區,YouBike2.0_復興南路二段280號前,25.02429,121.54328,27,25,2,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101007,大安區,YouBike2.0_復興南路二段340巷口,25.02253,121.54326,11,9,2,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101008,大安區,YouBike2.0_新生南路三段52號前,25.02112,121.53407,17,3,13,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101009,大安區,YouBike2.0_新生南路三段66號前,25.01976,121.53384,16,3,13,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101010,大安區,YouBike2.0_新生南路三段82號前,25.01894,121.53361,20,5,15,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101019,大安區,YouBike2.0_和平臥龍街口,25.024461,121.546705,24,14,10,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101021,大安區,YouBike2.0_銘傳國小側門,25.01385,121.53549,7,2,5,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101022,大安區,YouBike2.0_捷運公館站(2號出口),25.01491,121.53438,99,9,90,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101025,大安區,YouBike2.0_臺灣科技大學側門,25.01295,121.53973,99,5,94,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101029,大安區,YouBike2.0_臺大環研大樓,25.01234,121.54503,15,10,5,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101037,大安區,YouBike2.0_臺大國青大樓宿舍前,25.02076,121.54432,20,17,3,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101038,大安區,YouBike2.0_臺大社科院圖書館前,25.02101,121.54284,27,4,23,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101039,大安區,YouBike2.0_臺大法人語言訓練中心前,25.02104,121.54081,28,13,15,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101091,大安區,YouBike2.0_國北教大側門南側,25.022864,121.546622,34,17,12,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101094,大安區,YouBike2.0_辛亥泰順街口,25.02193,121.53165,20,12,8,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101097,大安區,YouBike2.0_臥龍樂業街口,25.01856,121.55558,41,33,8,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101104,大安區,YouBike2.0_捷運臺電大樓站(2號出口),25.02021,121.52942,18,6,12,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101105,大安區,YouBike2.0_和平金山路口,25.02669,121.52529,45,1,44,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101109,大安區,YouBike2.0_臺灣師範大學(圖書館),25.0266,121.52973,40,27,12,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101110,大安區,YouBike2.0_捷運古亭站(6號出口),25.0276,121.52217,60,17,43,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101111,大安區,YouBike2.0_捷運古亭站(5號出口),25.02715,121.52293,14,0,14,0,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101113,大安區,YouBike2.0_臺北市立圖書館(總館),25.02895,121.5379,51,35,16,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101116,大安區,YouBike2.0_金華公園,25.02984,121.53107,44,24,20,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101119,大安區,YouBike2.0_金杭公園,25.03325,121.52436,20,13,7,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101120,大安區,YouBike2.0_愛國金山路口,25.03164,121.52661,43,17,25,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101126,大安區,YouBike2.0_臨江街夜市(基隆路),25.02931,121.55721,29,24,5,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101128,大安區,YouBike2.0_新生南路一段119巷口,25.04003,121.53299,33,9,24,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101129,大安區,YouBike2.0_幸安國小(仁愛路),25.03753,121.53523,28,13,15,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101131,大安區,YouBike2.0_復興南路1段340巷口,25.03701,121.54348,50,10,40,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101133,大安區,YouBike2.0_捷運忠孝復興站(2號出口),25.04035,121.5436,43,34,8,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101137,大安區,YouBike2.0_龍門廣場,25.04092,121.54825,70,13,57,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101138,大安區,YouBike2.0_仁愛安和路口,25.03754,121.55285,33,8,25,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101142,大安區,YouBike2.0_八德市場,25.04463,121.53665,30,27,3,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101148,大安區,YouBike2.0_建國南路一段279巷口,25.03635,121.53833,62,18,44,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101149,大安區,YouBike2.0_捷運忠孝新生站(6號出口),25.04091,121.53295,15,7,8,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101151,大安區,YouBike2.0_大安高工,25.03126,121.54339,23,11,12,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101153,大安區,YouBike2.0_瑠公公園,25.04201,121.54612,20,11,9,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101154,大安區,YouBike2.0_敦化市民路口,25.04405,121.5486,23,14,9,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101159,大安區,YouBike2.0_捷運忠孝復興站(5號出口),25.04253,121.54407,30,18,12,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101166,大安區,YouBike2.0_捷運科技大樓站(台北教育大學),25.02472,121.54417,54,27,21,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101170,大安區,YouBike2.0_成功國宅,25.02681,121.54668,36,31,4,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101171,大安區,YouBike2.0_仁愛延吉街口,25.03748,121.55564,33,11,22,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101172,大安區,YouBike2.0_捷運信義安和站(1號出口),25.03331,121.55265,33,13,19,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101173,大安區,YouBike2.0_敦化南路二段103巷口,25.0287,121.54904,24,8,16,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101174,大安區,YouBike2.0_復興南路二段128巷口,25.02861,121.54336,41,27,14,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101175,大安區,YouBike2.0_和平東建國南路口,25.02575,121.5377,17,5,12,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101180,大安區,YouBike2.0_仁愛路四段48巷口,25.03597,121.54693,12,8,4,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101184,大安區,YouBike2.0_新生南路三段94巷口,25.01744,121.53334,15,3,12,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101185,大安區,YouBike2.0_辛亥新生路口西北側,25.02267,121.5341,40,29,11,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101186,大安區,YouBike2.0_捷運大安站(6號出口),25.03479,121.54376,29,22,6,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101187,大安區,YouBike2.0_臥龍街195巷口,25.01783,121.55224,14,9,5,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101188,大安區,YouBike2.0_辛亥路三段157巷口,25.01727,121.54904,27,16,11,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101192,大安區,YouBike2.0_和平敦化路口,25.02444,121.54908,36,26,9,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101193,大安區,YouBike2.0_基隆長興路口,25.01705,121.54435,51,40,5,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101194,大安區,YouBike2.0_仁愛路四段122巷口,25.03762,121.55009,25,6,19,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101196,大安區,YouBike2.0_市民敦化路口,25.04464,121.54944,32,2,30,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101199,大安區,YouBike2.0_和平新生路口西南側,25.02604,121.534,24,19,5,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101201,大安區,YouBike2.0_信義路三段134巷口,25.03333,121.53968,19,5,14,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101205,大安區,YouBike2.0_四維路170巷口,25.02821,121.54864,22,7,15,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101206,大安區,YouBike2.0_捷運大安站(3號出口),25.03328,121.5425,46,19,27,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101209,大安區,YouBike2.0_臺大資訊大樓,25.02101,121.54153,40,8,31,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101211,大安區,YouBike2.0_原臺北刑務所官舍,25.03054,121.52466,23,19,4,1,2025-06-22 06:01:30
2025-06-21T22:08+00:00,500101213,大安區,YouBike2.0_懷生國中,25.0401,121.54122,24,2,22,1,2025-06-22 06:01:30
