sno,sarea,sna,latitude,longitude,total,available_rent_bikes,available_rent_bikes_std,available_return_bikes,srcUpdateTime
500101001,大安區,YouBike2.0_捷運科技大樓站,25.02605,121.5436,28.0,2.6,2.5473297566057065,25.4,2025-05-23 12:37:30
500101002,大安區,YouBike2.0_復興南路二段273號前,25.02565,121.54357,21.0,2.1,3.1073389830457114,18.9,2025-05-23 12:37:30
500101003,大安區,YouBike2.0_國北教大實小東側門,25.02429,121.54124,28.0,11.8,7.495183638696105,16.2,2025-05-23 12:37:30
500101004,大安區,YouBike2.0_和平公園東側,25.02351,121.54282,11.0,5.5,3.0276503540974917,5.3,2025-05-23 12:37:30
500101005,大安區,YouBike2.0_辛亥復興路口西北側,25.02153,121.54299,16.0,5.4,4.623610902506587,10.4,2025-05-23 12:37:30
500101006,大安區,YouBike2.0_復興南路二段280號前,25.02429,121.54328,27.0,5.2,3.9944405810520647,21.6,2025-05-23 12:37:30
500101007,大安區,YouBike2.0_復興南路二段340巷口,25.02253,121.54326,11.0,6.0,2.6666666666666665,5.0,2025-05-23 12:37:30
500101008,大安區,YouBike2.0_新生南路三段52號前,25.02112,121.53407,17.0,7.5,3.0276503540974917,9.1,2025-05-23 12:37:30
500101009,大安區,YouBike2.0_新生南路三段66號前,25.01976,121.53384,16.0,11.8,5.884065110297661,4.0,2025-05-23 12:37:30
500101010,大安區,YouBike2.0_新生南路三段82號前,25.01894,121.53361,20.0,13.0,5.497474167490214,6.2,2025-05-23 12:37:30
500101012,大安區,YouBike2.0_辛亥路一段30號前,25.01986,121.52982,8.0,5.7,1.9465068427541912,2.3,2025-05-23 12:37:30
500101013,大安區,YouBike2.0_和平復興路口西北側,25.02543,121.54332,9.0,5.0,2.1081851067789197,4.0,2025-05-23 12:37:30
500101014,大安區,YouBike2.0_羅斯福路三段311號前,25.01717,121.53202,11.0,8.7,2.213594362117865,2.3,2025-05-23 12:37:30
500101015,大安區,YouBike2.0_大安運動中心停車場,25.02089,121.54697,19.0,8.1,5.195083145522205,10.9,2025-05-23 12:37:30
500101016,大安區,YouBike2.0_羅斯福路三段245號前,25.01927,121.52989,8.0,5.8,2.485513584307633,2.2,2025-05-23 12:37:30
500101018,大安區,YouBike2.0_溫州公園,25.01895,121.53156,5.0,3.5,1.649915822768611,1.5,2025-05-23 12:37:30
500101019,大安區,YouBike2.0_和平臥龍街口,25.024461,121.546705,24.0,10.1,6.83861584435525,13.9,2025-05-23 12:37:30
500101021,大安區,YouBike2.0_銘傳國小側門,25.01385,121.53549,7.0,4.2,2.0976176963403033,2.6,2025-05-23 12:37:30
500101022,大安區,YouBike2.0_捷運公館站(2號出口),25.01491,121.53438,99.0,30.7,22.40560445761531,65.1,2025-05-23 12:37:30
500101023,大安區,YouBike2.0_第二學生活動中心,25.01244,121.53661,25.0,12.3,6.515792780280505,12.3,2025-05-23 12:37:30
500101024,大安區,YouBike2.0_臺灣科技大學正門,25.01451,121.54142,50.0,14.3,10.604506379627274,35.7,2025-05-23 12:37:30
500101025,大安區,YouBike2.0_臺灣科技大學側門,25.01295,121.53973,99.0,23.9,20.118813748992924,74.7,2025-05-23 12:37:30
500101026,大安區,YouBike2.0_公館公園,25.01137,121.54062,30.0,6.8,9.003702941938204,22.9,2025-05-23 12:37:30
500101027,大安區,YouBike2.0_臺灣科技大學後門,25.01182,121.54165,39.0,3.9,4.0400770069668495,34.5,2025-05-23 12:37:30
500101028,大安區,YouBike2.0_臺大醫學院附設癌醫中心,25.01426,121.54382,20.0,3.5,3.9791121287711073,16.4,2025-05-23 12:37:30
500101029,大安區,YouBike2.0_臺大環研大樓,25.01234,121.54503,15.0,6.3,5.313504806936128,8.7,2025-05-23 12:37:30
500101030,大安區,YouBike2.0_臺大永齡生醫工程館,25.0136,121.54656,34.0,7.0,5.617433182117573,25.0,2025-05-23 12:37:30
500101031,大安區,YouBike2.0_臺大男七舍前,25.01537,121.54698,20.0,1.8,1.1352924243950933,18.2,2025-05-23 12:37:30
500101032,大安區,YouBike2.0_臺大男一舍前,25.01637,121.54535,61.0,7.1,9.12201244852862,53.3,2025-05-23 12:37:30
500101033,大安區,YouBike2.0_臺大男六舍前,25.01664,121.5452,40.0,3.7,5.056349144063003,36.3,2025-05-23 12:37:30
500101034,大安區,YouBike2.0_臺大動物醫院前,25.01576,121.54291,18.0,5.2,3.9384147967311813,12.8,2025-05-23 12:37:30
500101035,大安區,YouBike2.0_臺大土木研究大樓前,25.01787,121.5476,24.0,9.9,6.5903970543005475,14.1,2025-05-23 12:37:30
500101036,大安區,YouBike2.0_臺大萬才館前,25.02032,121.54497,20.0,5.0,2.7487370837451075,14.4,2025-05-23 12:37:30
500101037,大安區,YouBike2.0_臺大國青大樓宿舍前,25.02076,121.54432,20.0,3.1,1.728840330651992,16.9,2025-05-23 12:37:30
500101038,大安區,YouBike2.0_臺大社科院圖書館前,25.02101,121.54284,27.0,16.8,5.094659513211414,10.2,2025-05-23 12:37:30
500101039,大安區,YouBike2.0_臺大法人語言訓練中心前,25.02104,121.54081,28.0,6.9,5.820461990063827,20.3,2025-05-23 12:37:30
500101040,大安區,YouBike2.0_臺大綜合體育館停車場前,25.0222,121.53626,25.0,12.5,7.442371187255369,12.5,2025-05-23 12:37:30
