sno,sarea,sna,latitude,longitude,total,available_rent_bikes,available_rent_bikes_std,available_return_bikes,srcUpdateTime
500101001,大安區,YouBike2.0_捷運科技大樓站,25.02605,121.5436,28.0,9.8125,8.320406640703727,18.0625,2025-05-23 01:33:29
500101002,大安區,YouBike2.0_復興南路二段273號前,25.02565,121.54357,21.0,7.875,5.818075283115542,12.8125,2025-05-23 01:33:29
500101003,大安區,YouBike2.0_國北教大實小東側門,25.02429,121.54124,28.0,13.8125,6.155959172487528,14.1875,2025-05-23 01:33:29
500101004,大安區,YouBike2.0_和平公園東側,25.02351,121.54282,11.0,8.25,2.0165977949672227,2.75,2025-05-23 01:33:29
500101005,大安區,YouBike2.0_辛亥復興路口西北側,25.02153,121.54299,16.0,5.9375,4.945957945636011,9.875,2025-05-23 01:33:29
500101006,大安區,YouBike2.0_復興南路二段280號前,25.02429,121.54328,27.0,6.3125,4.346933785248325,20.6875,2025-05-23 01:33:29
500101007,大安區,YouBike2.0_復興南路二段340巷口,25.02253,121.54326,11.0,5.3125,4.02854398842394,5.6875,2025-05-23 01:33:29
500101008,大安區,YouBike2.0_新生南路三段52號前,25.02112,121.53407,17.0,10.375,3.9475730941090044,6.5,2025-05-23 01:33:29
500101009,大安區,YouBike2.0_新生南路三段66號前,25.01976,121.53384,16.0,9.75,2.816617356570348,5.9375,2025-05-23 01:33:29
500101010,大安區,YouBike2.0_新生南路三段82號前,25.01894,121.53361,20.0,7.375,4.7028360237910345,11.75,2025-05-23 01:33:29
500101012,大安區,YouBike2.0_辛亥路一段30號前,25.01986,121.52982,8.0,3.5625,2.581181899828061,4.4375,2025-05-23 01:33:29
500101013,大安區,YouBike2.0_和平復興路口西北側,25.02543,121.54332,9.0,6.0625,1.062622541953005,2.75,2025-05-23 01:33:29
500101014,大安區,YouBike2.0_羅斯福路三段311號前,25.01717,121.53202,11.0,4.5,2.780887148615228,6.5,2025-05-23 01:33:29
500101015,大安區,YouBike2.0_大安運動中心停車場,25.02089,121.54697,19.0,7.5,3.4641016151377544,11.5,2025-05-23 01:33:29
500101016,大安區,YouBike2.0_羅斯福路三段245號前,25.01927,121.52989,8.0,3.125,1.5,4.875,2025-05-23 01:33:29
500101018,大安區,YouBike2.0_溫州公園,25.01895,121.53156,5.0,2.3125,1.8874586088176875,2.6875,2025-05-23 01:33:29
500101019,大安區,YouBike2.0_和平臥龍街口,25.024461,121.546705,24.0,17.0,4.912568913850811,7.0,2025-05-23 01:33:29
500101021,大安區,YouBike2.0_銘傳國小側門,25.01385,121.53549,7.0,2.25,1.6931233465600393,4.625,2025-05-23 01:33:29
500101022,大安區,YouBike2.0_捷運公館站(2號出口),25.01491,121.53438,99.0,19.1875,15.118283632740852,61.5625,2025-05-23 01:33:29
500101023,大安區,YouBike2.0_第二學生活動中心,25.01244,121.53661,25.0,8.9375,3.5112913104250785,15.9375,2025-05-23 01:33:29
500101024,大安區,YouBike2.0_臺灣科技大學正門,25.01451,121.54142,50.0,8.6875,2.75,41.3125,2025-05-23 01:33:29
500101025,大安區,YouBike2.0_臺灣科技大學側門,25.01295,121.53973,99.0,5.0,5.08592829940284,93.75,2025-05-23 01:33:29
500101026,大安區,YouBike2.0_公館公園,25.01137,121.54062,30.0,12.3125,6.750000000000001,17.3125,2025-05-23 01:33:29
500101027,大安區,YouBike2.0_臺灣科技大學後門,25.01182,121.54165,39.0,18.875,9.294263463735755,20.0,2025-05-23 01:33:29
500101028,大安區,YouBike2.0_臺大醫學院附設癌醫中心,25.01426,121.54382,20.0,3.5,3.245509718570156,16.5,2025-05-23 01:33:29
500101029,大安區,YouBike2.0_臺大環研大樓,25.01234,121.54503,15.0,5.6875,2.6004807247891693,9.3125,2025-05-23 01:33:29
500101030,大安區,YouBike2.0_臺大永齡生醫工程館,25.0136,121.54656,34.0,15.25,8.910667763978187,18.25,2025-05-23 01:33:29
500101031,大安區,YouBike2.0_臺大男七舍前,25.01537,121.54698,20.0,13.1875,5.294257895745792,6.6875,2025-05-23 01:33:29
500101032,大安區,YouBike2.0_臺大男一舍前,25.01637,121.54535,61.0,59.625,0.499999999999999,0.6875,2025-05-23 01:33:29
500101033,大安區,YouBike2.0_臺大男六舍前,25.01664,121.5452,40.0,27.875,5.976342248120223,8.75,2025-05-23 01:33:29
500101034,大安區,YouBike2.0_臺大動物醫院前,25.01576,121.54291,18.0,2.375,1.5438048235879216,15.25,2025-05-23 01:33:29
500101035,大安區,YouBike2.0_臺大土木研究大樓前,25.01787,121.5476,24.0,7.9375,5.982961919762931,16.0625,2025-05-23 01:33:29
500101036,大安區,YouBike2.0_臺大萬才館前,25.02032,121.54497,20.0,5.0625,3.7853885753865044,14.4375,2025-05-23 01:33:29
500101037,大安區,YouBike2.0_臺大國青大樓宿舍前,25.02076,121.54432,20.0,6.0625,3.473110997362452,13.9375,2025-05-23 01:33:29
500101038,大安區,YouBike2.0_臺大社科院圖書館前,25.02101,121.54284,27.0,3.1875,3.986957904635229,23.8125,2025-05-23 01:33:29
500101039,大安區,YouBike2.0_臺大法人語言訓練中心前,25.02104,121.54081,28.0,3.4375,2.827690459249975,24.1875,2025-05-23 01:33:29
500101040,大安區,YouBike2.0_臺大綜合體育館停車場前,25.0222,121.53626,25.0,5.75,6.212889826803627,19.25,2025-05-23 01:33:29
500101041,大安區,YouBike2.0_辛亥新生路口東南側,25.02218,121.53474,50.0,13.625,8.8534362443818,36.375,2025-05-23 01:33:29
500101042,大安區,YouBike2.0_基隆長興路口東側,25.01727,121.54471,15.0,14.25,0.8563488385776754,0.5625,2025-05-23 01:33:29
500101091,大安區,YouBike2.0_國北教大側門南側,25.022864,121.546622,34.0,21.1875,8.856024314931991,12.4375,2025-05-23 01:33:29
500101092,大安區,YouBike2.0_和平實小東北側,25.021641,121.54704,25.0,15.625,5.886425061104575,9.0,2025-05-23 01:33:29
500101093,大安區,YouBike2.0_大安區健康服務中心,25.021469,121.544069,23.0,3.5625,1.7114808402861736,19.4375,2025-05-23 01:33:29
500101094,大安區,YouBike2.0_辛亥泰順街口,25.02193,121.53165,20.0,11.8125,4.118555572042218,8.1875,2025-05-23 01:33:29
500101095,大安區,YouBike2.0_芳和國中,25.0189,121.55013,37.0,24.375,5.40216006180244,12.625,2025-05-23 01:33:29
500101097,大安區,YouBike2.0_臥龍樂業街口,25.01856,121.55558,41.0,34.5,2.966479394838263,6.375,2025-05-23 01:33:29
500101098,大安區,YouBike2.0_臥龍公園,25.01623,121.55037,25.0,11.875,2.8722813232690143,13.125,2025-05-23 01:33:29
500101099,大安區,YouBike2.0_嘉興公園,25.021,121.55211,44.0,27.25,7.0757802867716775,8.8125,2025-05-23 01:33:29
500101100,大安區,YouBike2.0_捷運麟光站(2號出口),25.0181,121.55929,50.0,26.125,10.365809182114052,23.5,2025-05-23 01:33:29
500101101,大安區,YouBike2.0_捷運六張犁站,25.02397,121.55266,64.0,23.125,14.127396551853895,40.6875,2025-05-23 01:33:29
500101102,大安區,YouBike2.0_喬治工商,25.02705,121.55551,22.0,17.375,2.5265259415516264,4.375,2025-05-23 01:33:29
500101103,大安區,YouBike2.0_法治公園,25.02694,121.55325,29.0,19.8125,4.75,5.6875,2025-05-23 01:33:29
500101104,大安區,YouBike2.0_捷運臺電大樓站(2號出口),25.02021,121.52942,18.0,8.625,5.619905100029122,9.25,2025-05-23 01:33:29
500101105,大安區,YouBike2.0_和平金山路口,25.02669,121.52529,45.0,12.3125,9.293142633146227,32.4375,2025-05-23 01:33:29
500101107,大安區,YouBike2.0_和平龍泉街口,25.02638,121.52971,34.0,16.6875,10.319681842640952,14.125,2025-05-23 01:33:29
500101108,大安區,YouBike2.0_和平泰順街口,25.02621,121.53171,19.0,10.0625,6.402798867162183,7.125,2025-05-23 01:33:29
500101109,大安區,YouBike2.0_臺灣師範大學(圖書館),25.0266,121.52973,40.0,11.25,12.487326909043958,27.9375,2025-05-23 01:33:29
500101110,大安區,YouBike2.0_捷運古亭站(6號出口),25.0276,121.52217,60.0,14.0625,7.75,45.875,2025-05-23 01:33:29
500101113,大安區,YouBike2.0_臺北市立圖書館(總館),25.02895,121.5379,51.0,38.625,7.998958265507661,11.625,2025-05-23 01:33:29
500101114,大安區,YouBike2.0_新生和平路口東北側,25.02657,121.53515,51.0,15.875,10.378664011647485,34.75,2025-05-23 01:33:29
500101115,大安區,YouBike2.0_建國和平路口西北側,25.02606,121.53738,50.0,20.1875,13.372702294849258,29.8125,2025-05-23 01:33:29
500101116,大安區,YouBike2.0_金華公園,25.02984,121.53107,44.0,30.125,9.069178573608529,13.75,2025-05-23 01:33:29
500101118,大安區,YouBike2.0_金甌女中,25.03519,121.5245,15.0,7.0625,3.434506272134808,7.625,2025-05-23 01:33:29
500101119,大安區,YouBike2.0_金杭公園,25.03325,121.52436,20.0,13.0,4.366539438350085,7.0,2025-05-23 01:33:29
500101120,大安區,YouBike2.0_愛國金山路口,25.03164,121.52661,43.0,3.5,1.8973665961010275,39.3125,2025-05-23 01:33:29
500101122,大安區,YouBike2.0_敦化南路二段293巷口南側,25.0237,121.54899,14.0,4.375,2.704933763822446,9.625,2025-05-23 01:33:29
500101123,大安區,YouBike2.0_敦化基隆路口,25.02215,121.54839,38.0,13.5,7.275529763071095,24.1875,2025-05-23 01:33:29
500101124,大安區,YouBike2.0_安和路二段181巷口,25.02721,121.54988,29.0,9.5,7.155417527999327,19.3125,2025-05-23 01:33:29
500101125,大安區,YouBike2.0_臨江街夜市(通化街101巷口),25.02952,121.55406,30.0,9.75,4.809712396114068,9.5625,2025-05-23 01:33:29
500101126,大安區,YouBike2.0_臨江街夜市(基隆路),25.02931,121.55721,29.0,11.875,5.783597496368502,17.0,2025-05-23 01:33:29
500101127,大安區,YouBike2.0_台北科技大學億光大樓,25.04177,121.53833,45.0,14.625,13.09389170567712,30.375,2025-05-23 01:33:29
500101128,大安區,YouBike2.0_新生南路一段119巷口,25.04003,121.53299,33.0,18.875,6.458844065826846,14.125,2025-05-23 01:33:29
500101129,大安區,YouBike2.0_幸安國小(仁愛路),25.03753,121.53523,28.0,16.5625,7.375353098891831,10.9375,2025-05-23 01:33:29
500101130,大安區,YouBike2.0_民榮公園,25.03534,121.5354,15.0,9.5,1.2110601416389963,5.5,2025-05-23 01:33:29
500101131,大安區,YouBike2.0_復興南路1段340巷口,25.03701,121.54348,50.0,7.1875,7.467429276531516,42.8125,2025-05-23 01:33:29
500101132,大安區,YouBike2.0_建國濟南路口,25.03935,121.53828,54.0,15.0,6.250333324444918,38.5,2025-05-23 01:33:29
500101133,大安區,YouBike2.0_捷運忠孝復興站(2號出口),25.04035,121.5436,43.0,8.6875,8.867308873985763,34.3125,2025-05-23 01:33:29
500101134,大安區,YouBike2.0_捷運大安站(4號出口),25.0332,121.5439,13.0,2.125,2.187083293643233,10.875,2025-05-23 01:33:29
500101135,大安區,YouBike2.0_捷運大安站(2號出口),25.03358,121.54141,26.0,3.125,1.746424919657298,22.5,2025-05-23 01:33:29
500101136,大安區,YouBike2.0_信義大安路口(信維大樓),25.03317,121.54639,18.0,5.0625,3.75,12.5,2025-05-23 01:33:29
500101137,大安區,YouBike2.0_龍門廣場,25.04092,121.54825,70.0,3.9375,8.488963423174823,64.6875,2025-05-23 01:33:29
500101138,大安區,YouBike2.0_仁愛安和路口,25.03754,121.55285,33.0,4.375,4.425306015783918,28.3125,2025-05-23 01:33:29
500101139,大安區,YouBike2.0_信義敦化路口,25.03333,121.54977,52.0,18.0625,11.969231387186062,33.625,2025-05-23 01:33:29
500101140,大安區,YouBike2.0_仁愛國中,25.03706,121.55166,25.0,3.875,3.2015621187164243,21.125,2025-05-23 01:33:29
500101141,大安區,YouBike2.0_捷運信義安和站(2號出口),25.03304,121.55171,24.0,11.125,4.112987559751022,12.875,2025-05-23 01:33:29
500101142,大安區,YouBike2.0_八德市場,25.04463,121.53665,30.0,19.5625,5.715111547467818,10.4375,2025-05-23 01:33:29
500101143,大安區,YouBike2.0_昌隆公園,25.04448,121.53946,16.0,10.5,2.804757862395017,5.5,2025-05-23 01:33:29
500101144,大安區,YouBike2.0_捷運大安森林公園站(2號出口),25.03332,121.53435,69.0,34.25,17.214335111567145,30.5,2025-05-23 01:33:29
500101145,大安區,YouBike2.0_信義延吉街口,25.03318,121.55725,15.0,5.875,3.0083217912982647,8.9375,2025-05-23 01:33:29
500101146,大安區,YouBike2.0_光信公園(光復南路456巷),25.03513,121.5561,25.0,7.75,2.3804761428476167,16.125,2025-05-23 01:33:29
500101147,大安區,YouBike2.0_僑安地下停車場(2號出口)東南側,25.0391,121.5569,20.0,3.3125,1.9224550276491081,16.1875,2025-05-23 01:33:29
500101148,大安區,YouBike2.0_建國南路一段279巷口,25.03635,121.53833,32.0,11.75,3.214550253664318,19.75,2025-05-23 01:33:29
500101149,大安區,YouBike2.0_捷運忠孝新生站(6號出口),25.04091,121.53295,15.0,7.5625,3.076117683054405,7.4375,2025-05-23 01:33:29
500101150,大安區,YouBike2.0_捷運忠孝新生站(4號出口),25.04239,121.53324,46.0,8.375,7.032069396699666,37.625,2025-05-23 01:33:29
500101151,大安區,YouBike2.0_大安高工,25.03126,121.54339,23.0,4.375,3.757215280851853,18.625,2025-05-23 01:33:29
500101152,大安區,YouBike2.0_捷運忠孝新生站(3號出口),25.04189,121.53376,43.0,7.3125,4.045058714036175,35.4375,2025-05-23 01:33:29
500101153,大安區,YouBike2.0_瑠公公園,25.04201,121.54612,20.0,2.6875,3.4393555597912036,17.3125,2025-05-23 01:33:29
500101154,大安區,YouBike2.0_敦化市民路口,25.04405,121.5486,23.0,9.375,7.847504911329035,13.4375,2025-05-23 01:33:29
500101155,大安區,YouBike2.0_捷運大安森林公園站(5號出口),25.03336,121.5364,15.0,2.1875,1.4705441169852742,12.8125,2025-05-23 01:33:29
500101156,大安區,YouBike2.0_信義建國路口,25.0328,121.53746,52.0,16.0625,10.142115164007947,34.625,2025-05-23 01:33:29
500101157,大安區,YouBike2.0_東豐公園,25.03569,121.5451,19.0,11.6875,4.222459788638213,7.1875,2025-05-23 01:33:29
500101158,大安區,YouBike2.0_德安公園(四維路66巷),25.03473,121.54767,22.0,13.625,6.1087369125431055,8.375,2025-05-23 01:33:29
500101159,大安區,YouBike2.0_捷運忠孝復興站(5號出口),25.04253,121.54407,30.0,2.1875,2.5617376914898995,27.8125,2025-05-23 01:33:29
500101160,大安區,YouBike2.0_捷運忠孝敦化站(2號出口),25.04153,121.5524,17.0,0.75,0.8563488385776752,16.0625,2025-05-23 01:33:29
500101161,大安區,YouBike2.0_捷運忠孝敦化站(7號出口),25.04159,121.54937,18.0,1.5625,3.365882747016994,16.25,2025-05-23 01:33:29
500101162,大安區,YouBike2.0_忠孝東路四段223巷口(市民大道側),25.04427,121.55291,25.0,9.75,6.093712606722878,14.9375,2025-05-23 01:33:29
500101163,大安區,YouBike2.0_瑞安街208巷,25.02979,121.54053,15.0,11.4375,1.4591664287073862,3.4375,2025-05-23 01:33:29
500101165,大安區,YouBike2.0_樂利路21巷口,25.0277,121.55132,17.0,10.375,3.5753787678137448,3.4375,2025-05-23 01:33:29
500101166,大安區,YouBike2.0_捷運科技大樓站(台北教育大學),25.02472,121.54417,54.0,20.3125,6.279264818963019,33.5,2025-05-23 01:33:29
500101167,大安區,YouBike2.0_捷運國父紀念館站(2號出口),25.04122,121.55745,45.0,2.0625,3.2345787979271736,41.625,2025-05-23 01:33:29
500101168,大安區,YouBike2.0_仁愛醫院,25.03756,121.54587,36.0,2.4375,3.3260336739125176,33.4375,2025-05-23 01:33:29
500101169,大安區,YouBike2.0_捷運信義安和站(4號出口),25.03305,121.55378,49.0,6.0,5.125101625008686,42.6875,2025-05-23 01:33:29
500101170,大安區,YouBike2.0_成功國宅,25.02681,121.54668,36.0,23.1875,8.788012668781642,12.3125,2025-05-23 01:33:29
500101171,大安區,YouBike2.0_仁愛延吉街口,25.03748,121.55564,33.0,10.25,4.008324670815309,22.625,2025-05-23 01:33:29
500101172,大安區,YouBike2.0_捷運信義安和站(1號出口),25.03331,121.55265,33.0,8.0,5.796550698475776,24.625,2025-05-23 01:33:29
500101173,大安區,YouBike2.0_敦化南路二段103巷口,25.0287,121.54904,24.0,7.6875,6.096105314050931,16.3125,2025-05-23 01:33:29
500101174,大安區,YouBike2.0_復興南路二段128巷口,25.02861,121.54336,41.0,22.4375,5.573374202401989,18.0,2025-05-23 01:33:29
500101175,大安區,YouBike2.0_和平東建國南路口,25.02575,121.5377,17.0,4.0625,2.7195281453467866,12.25,2025-05-23 01:33:29
500101176,大安區,YouBike2.0_芳蘭山莊,25.01223,121.54788,16.0,11.4375,1.7114808402861732,3.75,2025-05-23 01:33:29
500101177,大安區,YouBike2.0_復興南路一段126巷口,25.04311,121.54313,15.0,6.6875,4.094203219186854,8.0,2025-05-23 01:33:29
500101179,大安區,YouBike2.0_捷運東門站(5號出口),25.03363,121.52962,28.0,6.5,2.9888682361946524,20.8125,2025-05-23 01:33:29
500101180,大安區,YouBike2.0_仁愛路四段48巷口,25.03597,121.54693,12.0,5.9375,2.462214450449026,6.0625,2025-05-23 01:33:29
500101181,大安區,YouBike2.0_捷運公館站(3號出口),25.01551,121.53374,99.0,30.375,20.600566335257227,67.1875,2025-05-23 01:33:29
