sno,sarea,sna,latitude,longitude,total,available_rent_bikes,available_rent_bikes_std,available_return_bikes,srcUpdateTime
500101001,大安區,YouBike2.0_捷運科技大樓站,25.02605,121.5436,28.0,9.5,7.837638128197259,18.375,2025-05-22 22:26:30
500101002,大安區,YouBike2.0_復興南路二段273號前,25.02565,121.54357,21.0,9.75,8.413424646700907,11.0,2025-05-22 22:26:30
500101003,大安區,YouBike2.0_國北教大實小東側門,25.02429,121.54124,28.0,11.5,8.141603913585719,16.375,2025-05-22 22:26:30
500101004,大安區,YouBike2.0_和平公園東側,25.02351,121.54282,11.0,6.0,3.4641016151377544,5.0,2025-05-22 22:26:30
500101005,大安區,YouBike2.0_辛亥復興路口西北側,25.02153,121.54299,16.0,2.375,2.50356888118884,13.5,2025-05-22 22:26:30
500101006,大安區,YouBike2.0_復興南路二段280號前,25.02429,121.54328,27.0,4.25,5.418223219575109,22.75,2025-05-22 22:26:30
500101007,大安區,YouBike2.0_復興南路二段340巷口,25.02253,121.54326,11.0,2.625,2.38671920665766,8.375,2025-05-22 22:26:30
500101008,大安區,YouBike2.0_新生南路三段52號前,25.02112,121.53407,17.0,11.75,4.621378891320517,4.875,2025-05-22 22:26:30
500101009,大安區,YouBike2.0_新生南路三段66號前,25.01976,121.53384,16.0,6.25,5.092010548749033,9.5,2025-05-22 22:26:30
500101010,大安區,YouBike2.0_新生南路三段82號前,25.01894,121.53361,20.0,3.5,2.7774602993176543,15.875,2025-05-22 22:26:30
500101012,大安區,YouBike2.0_辛亥路一段30號前,25.01986,121.52982,8.0,4.125,1.246423454758225,3.875,2025-05-22 22:26:30
500101013,大安區,YouBike2.0_和平復興路口西北側,25.02543,121.54332,9.0,5.75,2.2519832529192065,3.0,2025-05-22 22:26:30
500101014,大安區,YouBike2.0_羅斯福路三段311號前,25.01717,121.53202,11.0,3.875,2.5319388392523003,7.125,2025-05-22 22:26:30
500101015,大安區,YouBike2.0_大安運動中心停車場,25.02089,121.54697,19.0,5.5,5.264435935053794,13.5,2025-05-22 22:26:30
500101016,大安區,YouBike2.0_羅斯福路三段245號前,25.01927,121.52989,8.0,2.0,1.7728105208558367,6.0,2025-05-22 22:26:30
500101018,大安區,YouBike2.0_溫州公園,25.01895,121.53156,5.0,2.0,1.1952286093343936,3.0,2025-05-22 22:26:30
500101019,大安區,YouBike2.0_和平臥龍街口,25.024461,121.546705,24.0,12.0,5.80640040940045,12.0,2025-05-22 22:26:30
500101021,大安區,YouBike2.0_銘傳國小側門,25.01385,121.53549,7.0,2.75,2.121320343559643,4.125,2025-05-22 22:26:30
500101022,大安區,YouBike2.0_捷運公館站(2號出口),25.01491,121.53438,99.0,24.875,26.46527374288266,45.625,2025-05-22 22:26:30
500101023,大安區,YouBike2.0_第二學生活動中心,25.01244,121.53661,25.0,2.875,4.611708700997618,22.0,2025-05-22 22:26:30
500101024,大安區,YouBike2.0_臺灣科技大學正門,25.01451,121.54142,50.0,1.75,2.3754698783308417,48.25,2025-05-22 22:26:30
500101025,大安區,YouBike2.0_臺灣科技大學側門,25.01295,121.53973,99.0,3.875,4.793969425970806,94.875,2025-05-22 22:26:30
500101026,大安區,YouBike2.0_公館公園,25.01137,121.54062,30.0,12.375,9.226321043622967,17.25,2025-05-22 22:26:30
500101027,大安區,YouBike2.0_臺灣科技大學後門,25.01182,121.54165,39.0,19.0,12.421180068162375,19.625,2025-05-22 22:26:30
500101028,大安區,YouBike2.0_臺大醫學院附設癌醫中心,25.01426,121.54382,20.0,3.5,2.5634797778466227,16.5,2025-05-22 22:26:30
500101029,大安區,YouBike2.0_臺大環研大樓,25.01234,121.54503,15.0,4.5,3.5456210417116734,10.5,2025-05-22 22:26:30
500101030,大安區,YouBike2.0_臺大永齡生醫工程館,25.0136,121.54656,34.0,8.625,7.170126518110701,25.0,2025-05-22 22:26:30
500101031,大安區,YouBike2.0_臺大男七舍前,25.01537,121.54698,20.0,17.875,3.3567628964311944,2.0,2025-05-22 22:26:30
500101032,大安區,YouBike2.0_臺大男一舍前,25.01637,121.54535,61.0,52.125,9.187530369240381,8.375,2025-05-22 22:26:30
