scenario,gurobi_balanced_avg,gurobi_total_avg,gurobi_ratio,heuristic_balanced_avg,heuristic_total_avg,heuristic_ratio,gap(%)
2trucks_30min,222.0,310.0,0.7161290322580646,3402.0,7875.0,0.432,-39.675675675675684
2trucks_60min,255.0,310.0,0.8225806451612904,3351.6666666666665,7875.0,0.4256084656084656,-48.25936300446105
4trucks_30min,235.0,310.0,0.7580645161290323,3409.0,7875.0,0.4328888888888889,-42.89550827423168
4trucks_60min,286.0,310.0,0.9225806451612903,3376.6666666666665,7875.0,0.42878306878306877,-53.52351352351352
6trucks_30min,249.0,310.0,0.8032258064516129,3367.6666666666665,7875.0,0.42764021164021165,-46.75965236607807
6trucks_60min,300.6666666666667,310.0,0.9698924731182795,3378.3333333333335,7875.0,0.428994708994709,-55.7688382078626
